,title,movieId,genres,movie_year,title_only,userId,rating
2978,Mission: Impossible - Fallout (2018),189333,Action|Adventure|Thriller,2018.0,Mission: Impossible - Fallout,29791,4.0
2979,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,29791,3.5
2980,The Greatest Showman (2017),180985,Drama,2017.0,The Greatest Showman,29791,4.0
2981,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,25554,4.0
2982,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,25554,5.0
2983,Blade Runner 2049 (2017),176371,Sci-Fi,2017.0,Blade Runner 2049,25554,5.0
2984,Mission: Impossible - Rogue Nation (2015),111781,Action|Adventure|Thriller,2015.0,Mission: Impossible - Rogue Nation,25554,4.0
2985,10 Cloverfield Lane (2016),152077,Thriller,2016.0,10 Cloverfield Lane,25554,4.5
2986,La La Land (2016),164909,Comedy|Drama|Romance,2016.0,La La Land,25554,4.5
2987,"Three Billboards Outside Ebbing, Missouri (2017)",177593,Crime|Drama,2017.0,"Three Billboards Outside Ebbing, Missouri",25554,4.5
2988,Star Trek Beyond (2016),135569,Action|Adventure|Sci-Fi,2016.0,Star Trek Beyond,25554,4.0
2989,Your Name. (2016),163134,Animation|Drama|Fantasy|Romance,2016.0,Your Name.,25554,5.0
2990,Kingsman: The Golden Circle (2017),176101,Action|Adventure|Comedy,2017.0,Kingsman: The Golden Circle,25554,3.5
2991,Mission: Impossible - Fallout (2018),189333,Action|Adventure|Thriller,2018.0,Mission: Impossible - Fallout,25554,4.0
2992,Wind River (2017),175569,Action|Crime|Mystery|Thriller,2017.0,Wind River,25554,4.5
2993,Game Night (2018),183611,Action|Comedy|Crime|Horror,2018.0,Game Night,25554,4.0
2994,BlacKkKlansman (2018),189713,Comedy|Crime|Drama,2018.0,BlacKkKlansman,25554,4.0
2995,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,103856,4.5
2996,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,103856,5.0
2997,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,103856,4.0
2998,Sicario (2015),139644,Crime|Drama|Mystery,2015.0,Sicario,103856,4.0
2999,Wonder Woman (2017),143355,Action|Adventure|Fantasy,2017.0,Wonder Woman,103856,5.0
3000,Star Wars: The Last Jedi (2017),179819,Action|Adventure|Fantasy|Sci-Fi,2017.0,Star Wars: The Last Jedi,103856,5.0
3001,Finding Dory (2016),157296,Adventure|Animation|Comedy,2016.0,Finding Dory,103856,4.5
3002,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers,103856,4.0
3003,Avengers: Infinity War - Part II (2019),122914,Action|Adventure|Sci-Fi,2019.0,Avengers: Infinity War - Part II,103856,5.0
3004,Your Name. (2016),163134,Animation|Drama|Fantasy|Romance,2016.0,Your Name.,103856,4.5
3005,The Secret Life of Pets (2016),135436,Animation|Comedy,2016.0,The Secret Life of Pets,103856,4.0
3006,The Good Dinosaur (2015),136016,Adventure|Animation|Children|Comedy|Fantasy,2015.0,The Good Dinosaur,103856,3.5
3007,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,119993,3.0
3008,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,119993,2.0
3009,"Big Short, The (2015)",148626,Drama,2015.0,"Big Short, The",119993,3.0
3010,Get Out (2017),168250,Horror,2017.0,Get Out,119993,1.0
3011,Black Panther (2017),122906,Action|Adventure|Sci-Fi,2017.0,Black Panther,119993,2.0
3012,The Shape of Water (2017),180031,Adventure|Drama|Fantasy,2017.0,The Shape of Water,119993,2.5
3013,The Jungle Book (2016),137857,Adventure|Drama|Fantasy,2016.0,The Jungle Book,119993,3.5
3014,Hell or High Water (2016),161582,Crime|Drama,2016.0,Hell or High Water,119993,3.5
3015,Pirates of the Caribbean: Dead Men Tell No Tales (2017),122896,(no genres listed),2017.0,Pirates of the Caribbean: Dead Men Tell No Tales,119993,2.5
3016,Life (2017),169864,Horror|Sci-Fi|Thriller,2017.0,Life,119993,3.0
3017,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,119993,2.5
3018,Central Intelligence (2016),160271,Action|Comedy,2016.0,Central Intelligence,119993,0.5
3019,Deepwater Horizon (2016),162598,Drama,2016.0,Deepwater Horizon,119993,2.5
3020,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,116233,3.5
3021,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,116233,3.5
3022,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,116233,4.0
3023,Spotlight (2015),142488,Thriller,2015.0,Spotlight,116233,4.0
3024,Get Out (2017),168250,Horror,2017.0,Get Out,116233,4.0
3025,Minions (2015),135887,Adventure|Animation|Children|Comedy,2015.0,Minions,116233,3.5
3026,Captain Fantastic (2016),158966,Drama,2016.0,Captain Fantastic,116233,4.0
3027,Sully (2016),160980,Drama,2016.0,Sully,116233,3.5
3028,Creed (2015),146656,Drama,2015.0,Creed,116233,4.0
3029,Alien: Covenant (2017),169984,Action|Horror|Sci-Fi|Thriller,2017.0,Alien: Covenant,116233,3.5
3030,Me and Earl and the Dying Girl (2015),127202,Drama,2015.0,Me and Earl and the Dying Girl,116233,5.0
3031,Pirates of the Caribbean: Dead Men Tell No Tales (2017),122896,(no genres listed),2017.0,Pirates of the Caribbean: Dead Men Tell No Tales,116233,3.5
3032,Swiss Army Man (2016),159415,Comedy|Drama|Romance,2016.0,Swiss Army Man,116233,3.5
3033,The Age of Adaline (2015),132480,Drama|Fantasy|Romance,2015.0,The Age of Adaline,116233,3.0
3034,The Girl on the Train (2016),162602,Thriller,2016.0,The Girl on the Train,116233,4.0
3035,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,146475,4.5
3036,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,146475,5.0
3037,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,146475,5.0
3038,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,146475,5.0
3039,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2,146475,4.5
3040,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot,146475,3.5
3041,Moana (2016),166461,Adventure|Animation|Children|Comedy|Fantasy,2016.0,Moana,146475,4.5
3042,The Shape of Water (2017),180031,Adventure|Drama|Fantasy,2017.0,The Shape of Water,146475,4.0
3043,Alien: Covenant (2017),169984,Action|Horror|Sci-Fi|Thriller,2017.0,Alien: Covenant,146475,4.0
3044,Kingsman: The Golden Circle (2017),176101,Action|Adventure|Comedy,2017.0,Kingsman: The Golden Circle,146475,4.5
3045,War for the Planet of the Apes (2017),173145,Action|Adventure|Drama|Sci-Fi,2017.0,War for the Planet of the Apes,146475,4.0
3046,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,146475,3.0
3047,Independence Day: Resurgence (2016),135567,Action|Adventure|Sci-Fi,2016.0,Independence Day: Resurgence,146475,3.5
3048,"I, Tonya (2017)",178061,Drama,2017.0,"I, Tonya",146475,2.5
3049,Jurassic World: Fallen Kingdom (2018),187031,Action|Adventure|Drama|Sci-Fi|Thriller,2018.0,Jurassic World: Fallen Kingdom,146475,4.0
3050,Bird Box (2018),194951,Drama|Sci-Fi|Thriller,2018.0,Bird Box,146475,3.5
3051,Carol (2015),133645,Drama|Romance,2015.0,Carol,146475,1.0
3052,Central Intelligence (2016),160271,Action|Comedy,2016.0,Central Intelligence,146475,4.0
3053,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,46546,4.0
3054,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,46546,4.0
3055,Rogue One: A Star Wars Story (2016),166528,Action|Adventure|Fantasy|Sci-Fi,2016.0,Rogue One: A Star Wars Story,46546,3.5
3056,Dunkirk (2017),174055,Action|Drama|Thriller|War,2017.0,Dunkirk,46546,2.0
3057,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot,46546,3.5
3058,Spider-Man: Into the Spider-Verse (2018),195159,Action|Adventure|Animation|Sci-Fi,2018.0,Spider-Man: Into the Spider-Verse,46546,4.0
3059,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers,46546,3.0
3060,Hacksaw Ridge (2016),163645,Drama|War,2016.0,Hacksaw Ridge,46546,3.5
3061,Sausage Party (2016),158872,Animation|Comedy,2016.0,Sausage Party,46546,3.5
3062,Captain Marvel (2018),122910,Action|Adventure|Sci-Fi,2018.0,Captain Marvel,46546,3.5
3063,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,46546,4.0
3064,Louis C.K.: Live at The Comedy Store (2015),127098,Comedy,2015.0,Louis C.K.: Live at The Comedy Store,46546,4.0
3065,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,22349,4.0
3066,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,22349,4.0
3067,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man,22349,3.5
3068,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World,22349,3.0
3069,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot,22349,3.5
3070,The Nice Guys (2016),158238,Crime|Mystery|Thriller,2016.0,The Nice Guys,22349,4.0
3071,Spider-Man: Into the Spider-Verse (2018),195159,Action|Adventure|Animation|Sci-Fi,2018.0,Spider-Man: Into the Spider-Verse,22349,4.5
3072,It (2017),175303,Horror,2017.0,It,22349,4.5
3073,Terminator Genisys (2015),120799,Action|Adventure|Sci-Fi|Thriller,2015.0,Terminator Genisys,22349,2.5
3074,Jupiter Ascending (2015),113345,Action|Adventure|Sci-Fi,2015.0,Jupiter Ascending,22349,3.0
3075,Your Name. (2016),163134,Animation|Drama|Fantasy|Romance,2016.0,Your Name.,22349,4.5
3076,Pirates of the Caribbean: Dead Men Tell No Tales (2017),122896,(no genres listed),2017.0,Pirates of the Caribbean: Dead Men Tell No Tales,22349,2.5
3077,Ted 2 (2015),135861,Comedy,2015.0,Ted 2,22349,3.0
3078,Sausage Party (2016),158872,Animation|Comedy,2016.0,Sausage Party,22349,2.5
3079,Warcraft (2016),122890,Action|Adventure|Fantasy,2016.0,Warcraft,22349,4.0
3080,Ghostbusters (2016),160080,Action|Comedy|Horror|Sci-Fi,2016.0,Ghostbusters,22349,2.0
3081,Murder on the Orient Express (2017),177763,Crime|Drama|Mystery,2017.0,Murder on the Orient Express,22349,3.5
3082,A Star Is Born (2018),192385,Drama|Romance,2018.0,A Star Is Born,22349,4.0
3083,The Mummy (2017),170827,Action|Adventure|Fantasy|Horror|Thriller,2017.0,The Mummy,22349,2.5
3084,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,100263,4.5
3085,Mission: Impossible - Rogue Nation (2015),111781,Action|Adventure|Thriller,2015.0,Mission: Impossible - Rogue Nation,100263,4.5
3086,Fantastic Beasts and Where to Find Them (2016),135143,Fantasy,2016.0,Fantastic Beasts and Where to Find Them,100263,4.5
3087,X-Men: Apocalypse (2016),122924,Action|Adventure|Fantasy|Sci-Fi,2016.0,X-Men: Apocalypse,100263,3.5
3088,Lady Bird (2017),177615,Comedy,2017.0,Lady Bird,100263,3.0
3089,War Dogs (2016),161131,Comedy,2016.0,War Dogs,100263,3.5
3090,War for the Planet of the Apes (2017),173145,Action|Adventure|Drama|Sci-Fi,2017.0,War for the Planet of the Apes,100263,3.5
3091,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,100263,3.5
3092,Home (2015),130520,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2015.0,Home,100263,2.5
3093,Bright (2017),182823,Action|Crime|Fantasy,2017.0,Bright,100263,4.0
3094,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,143337,4.0
3095,The Revenant (2015),139385,Adventure|Drama,2015.0,The Revenant,143337,3.0
3096,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange,143337,4.0
3097,Wonder Woman (2017),143355,Action|Adventure|Fantasy,2017.0,Wonder Woman,143337,3.5
3098,Room (2015),140174,Drama,2015.0,Room,143337,3.5
3099,Baby Driver (2017),171763,Action|Crime|Thriller,2017.0,Baby Driver,143337,3.5
3100,Bridge of Spies (2015),143385,Drama|Thriller,2015.0,Bridge of Spies,143337,4.0
3101,X-Men: Apocalypse (2016),122924,Action|Adventure|Fantasy|Sci-Fi,2016.0,X-Men: Apocalypse,143337,3.0
3102,Maze Runner: Scorch Trials (2015),117895,Action|Thriller,2015.0,Maze Runner: Scorch Trials,143337,3.5
3103,Jumanji: Welcome to the Jungle (2017),179401,Action|Adventure|Children,2017.0,Jumanji: Welcome to the Jungle,143337,3.0
3104,Creed (2015),146656,Drama,2015.0,Creed,143337,2.5
3105,Ant-Man and the Wasp (2018),188301,Action|Adventure|Comedy|Fantasy|Sci-Fi,2018.0,Ant-Man and the Wasp,143337,3.5
3106,Mission: Impossible - Fallout (2018),189333,Action|Adventure|Thriller,2018.0,Mission: Impossible - Fallout,143337,3.5
3107,War Dogs (2016),161131,Comedy,2016.0,War Dogs,143337,4.0
3108,Captain Marvel (2018),122910,Action|Adventure|Sci-Fi,2018.0,Captain Marvel,143337,3.5
3109,Ghostbusters (2016),160080,Action|Comedy|Horror|Sci-Fi,2016.0,Ghostbusters,143337,2.5
3110,Life (2017),169864,Horror|Sci-Fi|Thriller,2017.0,Life,143337,3.5
3111,The Girl on the Train (2016),162602,Thriller,2016.0,The Girl on the Train,143337,3.0
3112,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,74607,5.0
3113,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,74607,3.0
3114,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,74607,4.0
3115,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2,74607,5.0
3116,Blade Runner 2049 (2017),176371,Sci-Fi,2017.0,Blade Runner 2049,74607,4.0
3117,Wonder Woman (2017),143355,Action|Adventure|Fantasy,2017.0,Wonder Woman,74607,3.0
3118,Baby Driver (2017),171763,Action|Crime|Thriller,2017.0,Baby Driver,74607,4.5
3119,Black Panther (2017),122906,Action|Adventure|Sci-Fi,2017.0,Black Panther,74607,4.5
3120,Bohemian Rhapsody (2018),192803,Drama,2018.0,Bohemian Rhapsody,74607,3.5
3121,Kingsman: The Golden Circle (2017),176101,Action|Adventure|Comedy,2017.0,Kingsman: The Golden Circle,74607,4.0
3122,War Dogs (2016),161131,Comedy,2016.0,War Dogs,74607,4.0
3123,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,45219,4.5
3124,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange,45219,3.5
3125,Sicario (2015),139644,Crime|Drama|Mystery,2015.0,Sicario,45219,3.0
3126,Room (2015),140174,Drama,2015.0,Room,45219,4.5
3127,Now You See Me 2 (2016),159093,Action|Comedy|Thriller,2016.0,Now You See Me 2,45219,3.0
3128,Captain Fantastic (2016),158966,Drama,2016.0,Captain Fantastic,45219,4.5
3129,Annihilation (2018),182715,Adventure|Mystery|Sci-Fi|Thriller,2018.0,Annihilation,45219,2.5
3130,Trainwreck (2015),134393,Comedy|Romance,2015.0,Trainwreck,45219,3.5
3131,Mother! (2017),176419,Drama|Horror|Mystery|Thriller,2017.0,Mother!,45219,4.0
3132,Straight Outta Compton (2015),140715,Drama,2015.0,Straight Outta Compton,45219,4.5
3133,The Handmaiden (2016),158783,Drama|Romance|Thriller,2016.0,The Handmaiden,45219,4.0
3134,A Star Is Born (2018),192385,Drama|Romance,2018.0,A Star Is Born,45219,4.0
3135,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,86930,5.0
3136,The Revenant (2015),139385,Adventure|Drama,2015.0,The Revenant,86930,4.0
3137,Captain America: Civil War (2016),122920,Action|Sci-Fi|Thriller,2016.0,Captain America: Civil War,86930,5.0
3138,La La Land (2016),164909,Comedy|Drama|Romance,2016.0,La La Land,86930,4.0
3139,Finding Dory (2016),157296,Adventure|Animation|Comedy,2016.0,Finding Dory,86930,5.0
3140,Terminator Genisys (2015),120799,Action|Adventure|Sci-Fi|Thriller,2015.0,Terminator Genisys,86930,4.0
3141,Sausage Party (2016),158872,Animation|Comedy,2016.0,Sausage Party,86930,4.0
3142,"Hail, Caesar! (2016)",143859,Comedy,2016.0,"Hail, Caesar!",86930,3.0
3143,The Gift (2015),140247,Drama|Horror,2015.0,The Gift,86930,4.5
3144,The Greatest Showman (2017),180985,Drama,2017.0,The Greatest Showman,86930,5.0
3145,Allegiant: Part 1 (2016),135141,Adventure|Sci-Fi,2016.0,Allegiant: Part 1,86930,4.0
3146,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,133027,4.0
3147,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road,133027,3.5
3148,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange,133027,4.0
3149,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man,133027,4.0
3150,Captain America: Civil War (2016),122920,Action|Sci-Fi|Thriller,2016.0,Captain America: Civil War,133027,3.5
3151,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World,133027,3.0
3152,Mission: Impossible - Rogue Nation (2015),111781,Action|Adventure|Thriller,2015.0,Mission: Impossible - Rogue Nation,133027,4.0
3153,The Nice Guys (2016),158238,Crime|Mystery|Thriller,2016.0,The Nice Guys,133027,3.5
3154,Star Trek Beyond (2016),135569,Action|Adventure|Sci-Fi,2016.0,Star Trek Beyond,133027,3.5
3155,Ted 2 (2015),135861,Comedy,2015.0,Ted 2,133027,3.5
3156,The Age of Adaline (2015),132480,Drama|Fantasy|Romance,2015.0,The Age of Adaline,133027,3.0
3157,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,37287,4.5
3158,Sicario (2015),139644,Crime|Drama|Mystery,2015.0,Sicario,37287,4.0
3159,Wonder Woman (2017),143355,Action|Adventure|Fantasy,2017.0,Wonder Woman,37287,3.5
3160,Spectre (2015),136020,Action|Adventure|Crime,2015.0,Spectre,37287,3.5
3161,John Wick: Chapter Two (2017),168248,Action|Crime|Thriller,2017.0,John Wick: Chapter Two,37287,4.0
3162,Chappie (2015),120466,Action|Thriller,2015.0,Chappie,37287,2.5
3163,Jupiter Ascending (2015),113345,Action|Adventure|Sci-Fi,2015.0,Jupiter Ascending,37287,2.5
3164,Hunt for the Wilderpeople (2016),152970,Adventure|Comedy,2016.0,Hunt for the Wilderpeople,37287,4.0
3165,The Big Sick (2017),168326,Comedy|Romance,2017.0,The Big Sick,37287,4.0
3166,Warcraft (2016),122890,Action|Adventure|Fantasy,2016.0,Warcraft,37287,4.0
3167,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,37287,3.0
3168,Straight Outta Compton (2015),140715,Drama,2015.0,Straight Outta Compton,37287,4.0
3169,The Hitman's Bodyguard (2017),175661,Action|Comedy,2017.0,The Hitman's Bodyguard,37287,3.5
3170,Murder on the Orient Express (2017),177763,Crime|Drama|Mystery,2017.0,Murder on the Orient Express,37287,3.5
3171,The Fate of the Furious (2017),170875,Action|Crime|Drama|Thriller,2017.0,The Fate of the Furious,37287,2.5
3172,Aquaman (2018),143347,Action|Fantasy|Sci-Fi,2018.0,Aquaman,37287,3.5
3173,The Post (2017),180497,Drama|Thriller,2017.0,The Post,37287,4.0
3174,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,71839,4.5
3175,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,71839,2.0
3176,Logan (2017),168252,Action|Sci-Fi,2017.0,Logan,71839,2.5
3177,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World,71839,3.0
3178,Blade Runner 2049 (2017),176371,Sci-Fi,2017.0,Blade Runner 2049,71839,4.5
3179,Coco (2017),177765,Adventure|Animation|Children,2017.0,Coco,71839,4.5
3180,Incredibles 2 (2018),187541,Action|Adventure|Animation|Children,2018.0,Incredibles 2,71839,2.0
3181,Batman v Superman: Dawn of Justice (2016),136864,Action|Adventure|Fantasy|Sci-Fi,2016.0,Batman v Superman: Dawn of Justice,71839,3.0
3182,It (2017),175303,Horror,2017.0,It,71839,2.0
3183,The Big Sick (2017),168326,Comedy|Romance,2017.0,The Big Sick,71839,1.5
3184,"Hail, Caesar! (2016)",143859,Comedy,2016.0,"Hail, Caesar!",71839,4.5
3185,The Founder (2016),166946,Drama,2016.0,The Founder,71839,3.0
3186,Justice League (2017),122898,Action|Adventure|Sci-Fi,2017.0,Justice League,71839,0.5
3187,Upgrade (2018),189203,Action|Comedy|Horror|Sci-Fi|Thriller,2018.0,Upgrade,71839,4.0
3188,The Lego Batman Movie (2017),167746,Action|Animation|Comedy,2017.0,The Lego Batman Movie,71839,2.0
3189,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,145213,5.0
3190,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,145213,4.0
3191,"Big Short, The (2015)",148626,Drama,2015.0,"Big Short, The",145213,3.5
3192,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World,145213,3.5
3193,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot,145213,4.5
3194,Avengers: Infinity War - Part II (2019),122914,Action|Adventure|Sci-Fi,2019.0,Avengers: Infinity War - Part II,145213,4.5
3195,Furious 7 (2015),130634,Action|Crime|Thriller,2015.0,Furious 7,145213,4.0
3196,Captain Marvel (2018),122910,Action|Adventure|Sci-Fi,2018.0,Captain Marvel,145213,4.5
3197,War for the Planet of the Apes (2017),173145,Action|Adventure|Drama|Sci-Fi,2017.0,War for the Planet of the Apes,145213,3.5
3198,Darkest Hour (2017),179817,Drama|War,2017.0,Darkest Hour,145213,4.0
3199,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,15476,5.0
3200,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,15476,5.0
3201,Fantastic Beasts and Where to Find Them (2016),135143,Fantasy,2016.0,Fantastic Beasts and Where to Find Them,15476,5.0
3202,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot,15476,5.0
3203,The Man from U.N.C.L.E. (2015),138036,Action|Adventure|Comedy,2015.0,The Man from U.N.C.L.E.,15476,4.0
3204,Incredibles 2 (2018),187541,Action|Adventure|Animation|Children,2018.0,Incredibles 2,15476,5.0
3205,Suicide Squad (2016),135536,Action|Crime|Sci-Fi,2016.0,Suicide Squad,15476,5.0
3206,Furious 7 (2015),130634,Action|Crime|Thriller,2015.0,Furious 7,15476,5.0
3207,Minions (2015),135887,Adventure|Animation|Children|Comedy,2015.0,Minions,15476,0.5
3208,Insurgent (2015),130490,Action|Sci-Fi|Thriller,2015.0,Insurgent,15476,3.5
3209,Tomorrowland (2015),132046,Action|Adventure|Children|Mystery|Sci-Fi,2015.0,Tomorrowland,15476,2.5
3210,Mission: Impossible - Fallout (2018),189333,Action|Adventure|Thriller,2018.0,Mission: Impossible - Fallout,15476,4.0
3211,Pitch Perfect 2 (2015),133419,Comedy,2015.0,Pitch Perfect 2,15476,2.5
3212,Captain Marvel (2018),122910,Action|Adventure|Sci-Fi,2018.0,Captain Marvel,15476,3.5
3213,Venom (2018),192389,Action|Horror|Sci-Fi|Thriller,2018.0,Venom,15476,2.5
3214,A Star Is Born (2018),192385,Drama|Romance,2018.0,A Star Is Born,15476,4.0
3215,Sing (2016),167036,Animation|Children|Comedy,2016.0,Sing,15476,3.5
3216,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,89976,2.0
3217,Rogue One: A Star Wars Story (2016),166528,Action|Adventure|Fantasy|Sci-Fi,2016.0,Rogue One: A Star Wars Story,89976,2.5
3218,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World,89976,2.5
3219,Suicide Squad (2016),135536,Action|Crime|Sci-Fi,2016.0,Suicide Squad,89976,0.5
3220,Insurgent (2015),130490,Action|Sci-Fi|Thriller,2015.0,Insurgent,89976,1.0
3221,Captain Fantastic (2016),158966,Drama,2016.0,Captain Fantastic,89976,0.5
3222,Lion (2016),165551,Drama,2016.0,Lion,89976,4.0
3223,Fifty Shades of Grey (2015),125916,Drama|Romance,2015.0,Fifty Shades of Grey,89976,0.5
3224,The Gift (2015),140247,Drama|Horror,2015.0,The Gift,89976,3.0
3225,Pixels (2015),135137,Action|Comedy|Sci-Fi,2015.0,Pixels,89976,1.0
3226,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,116455,4.5
3227,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange,116455,3.5
3228,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man,116455,3.0
3229,Fantastic Beasts and Where to Find Them (2016),135143,Fantasy,2016.0,Fantastic Beasts and Where to Find Them,116455,2.0
3230,Hidden Figures (2016),166643,Drama,2016.0,Hidden Figures,116455,4.0
3231,Batman v Superman: Dawn of Justice (2016),136864,Action|Adventure|Fantasy|Sci-Fi,2016.0,Batman v Superman: Dawn of Justice,116455,2.0
3232,Chappie (2015),120466,Action|Thriller,2015.0,Chappie,116455,3.5
3233,The Jungle Book (2016),137857,Adventure|Drama|Fantasy,2016.0,The Jungle Book,116455,2.5
3234,Captain Fantastic (2016),158966,Drama,2016.0,Captain Fantastic,116455,3.5
3235,Hell or High Water (2016),161582,Crime|Drama,2016.0,Hell or High Water,116455,3.0
3236,Beauty and the Beast (2017),168366,Fantasy|Romance,2017.0,Beauty and the Beast,116455,3.5
3237,Kung Fu Panda 3 (2016),149406,Action|Adventure|Animation,2016.0,Kung Fu Panda 3,116455,3.5
3238,War Dogs (2016),161131,Comedy,2016.0,War Dogs,116455,3.5
3239,Ghostbusters (2016),160080,Action|Comedy|Horror|Sci-Fi,2016.0,Ghostbusters,116455,1.5
